DOG_ID;EDUC_PROGRAM;WEEK;DAY;DATE;LIP_LICKING;YAWNING;SNIFFING;HEAD_MOVEMENT;SHAKING
PIWI;STAY_ORGANIZATION;W3;MONDAY;D5;4;2;11;69;0
PIRATE;STAY_ORGANIZATION;W3;MONDAY;D5;6;0;13;93;0
PACO;STAY_ORGANIZATION;W3;MONDAY;D5;22;2;2;36;0
OKAZ;STAY_ORGANIZATION;W3;MONDAY;D5;11;0;21;52;0
OOPER;STAY_ORGANIZATION;W3;MONDAY;D5;27;0;2;34;0
OLFY;STAY_ORGANIZATION;W3;MONDAY;D5;30;0;5;35;0
OUIFY;STAY_ORGANIZATION;W3;MONDAY;D5;15;0;0;39;0
MIRABELLE;STAY_ORGANIZATION;W3;MONDAY;D5;22;0;2;39;0
PERU;STAY_ORGANIZATION;W3;FRIDAY;D6;18;1;7;29;0
PIWI;STAY_ORGANIZATION;W3;FRIDAY;D6;9;0;20;43;0
PIRATE;STAY_ORGANIZATION;W3;FRIDAY;D6;18;0;15;55;2
PACO;STAY_ORGANIZATION;W3;FRIDAY;D6;16;0;9;13;3
OKAZ;STAY_ORGANIZATION;W3;FRIDAY;D6;5;0;3;47;1
OOPER;STAY_ORGANIZATION;W3;FRIDAY;D6;51;0;5;42;0
OLFY;STAY_ORGANIZATION;W3;FRIDAY;D6;13;0;1;17;0
OUIFY;STAY_ORGANIZATION;W3;FRIDAY;D6;12;0;1;42;0
MIRABELLE;STAY_ORGANIZATION;W3;FRIDAY;D6;10;1;5;35;1
