Style;Per;Rock;Metal;Rap;RapUS;RapFR;Elect;ChansFR;Influ;Conf;SurC;SousC;Disp;Improb;Manq;Prof;Guerin;Genr;Cat;Age;Honnet;Avis
Metal;70s;PinkFloyd;IronMaiden;FR;JayZ;McSolar;Boum;Dassin;Madonna;Beyonce;ColdPlay;Queen;ChantAmphi;Trallpunk;Notes;PayetDblKick;FadeBeurDx;WTF;PersISARA;30-34;Oui;Boomers
Rap;90s;PinkFloyd;Ramstein;US;DrDre ;Booba;Coeur;Saez;Bowie;Joplin;ColdPlay;Nirvana;RapVersail;Psychobilly;Rage;PayetDblKick;NoComment;Homme;PersISARA;35-44;Oui;HaHa
Metal;80s;PinkFloyd;IronMaiden;US;Eminem;Orelsan;Coeur;Saez;MJackson;Bowie;ColdPlay;Maneskin;Kpop ;Folktronica;Notes;PayetDblKick;NoComment;Femme;Autre;25-29;Oui;Boomers
Metal;70s;LedZep;IronMaiden;US;Eminem;Orelsan;Coeur;Brassens;MJackson;Hendrix;DaftPunk;PinkFloyd;Kpop ;Folktronica;Profond;GuerinBass;FadeBeurDx;Homme;Autre;20-24;Oui;HaHa
Electro;00s;LedZep;IronMaiden;US;Eminem;Orelsan;Coeur;Brassens;MJackson;MJackson;Maneskin;ColdPlay;ChantAmphi;Psychobilly;Notes;PayetDblKick;NoComment;Homme;Autre;15-19;Oui;HaHa
Metal;90s;Nirvana;BlackSab;FR;XXXTent;Orelsan;Soiree;Saez;Hendrix;Cobain;ColdPlay;TameImp;Kpop ;Folktronica;Rage;TolonAccord;BFF;WTF;Autre;20-24;Oui;Offens
JazzSoul;90s;PinkFloyd;Ramstein;FR;50Cent;Orelsan;Coeur;Stromae;Hendrix;Joplin;ColdPlay;PinkFloyd;ChantAmphi;Psychobilly;Profond;PayetDblKick;NoComment;Femme;Autre;20-24;Oui;HaHa
ChansonF;90s;Queen;Metallica;FR;Eminem;Orelsan;Coeur;Dassin;Beyonce;Cobain;Beatles;Queen;Reggaeton;Chiptune;Profond;SarrazSynth;NoComment;Femme;Autre;25-29;Oui;Nimp
Rap;80s;Queen;Metallica;FR;50Cent;Booba;Soiree;Dassin;MJackson;MJackson;TameImp;Beatles;RapVersail;Chiptune;Notes;PayetDblKick;ConnaisPas;Homme;Autre;20-24;Oui;Boomers
Electro;80s;ACDC;BlackSab;FR;Eminem;Booba;Soiree;Mae;Madonna;Beyonce;DaftPunk;Queen;ChantAmphi;Folktronica;Joie;BillyVoix;NoComment;Femme;Autre;20-24;Oui;HaHa
PopRock;00s;ACDC;Metallica;US;Eminem;Orelsan;Boum;Dassin;MJackson;Beyonce;TameImp;ColdPlay;ChantAmphi;Austropop;Profond;BillyVoix;ConnaisPas;Femme;Autre;25-29;Oui;HaHa
Metal;00s;GunsRoses;Metallica;US;Eminem;PNL;Boum;Banabar;MJackson;Beyonce;Nirvana;Maneskin;Kpop ;Psychobilly;Profond;PayetDblKick;NoComment;WTF;Autre;20-24;Oui;Boomers
Metal;90s;GunsRoses;Motorhead;FR;50Cent;Booba;Soiree;Dassin;MJackson;Hendrix;DaftPunk;PinkFloyd;Kpop ;Trallpunk;Rage;PayetDblKick;ConnaisPas;Femme;Autre;20-24;Oui;HaHa
PopRock;80s;ACDC;Ramstein;US;Eminem;Orelsan;Coeur;Mae;Hendrix;Hendrix;TameImp;Maneskin;RapVersail;Trallpunk;Folie;GuerinBass;NoComment;Homme;Autre;20-24;Oui;Boomers
Metal;90s;LedZep;Motorhead;FR;XXXTent;Orelsan;Boum;Stromae;Hendrix;Cobain;DaftPunk;Queen;Kpop ;Psychobilly;Rage;PayetDblKick;BFF;Femme;Autre;15-19;Oui;Nimp
JazzSoul;80s;LedZep;Motorhead;US;JayZ;McSolar;Boum;Mae;Hendrix;Hendrix;Beatles;ColdPlay;RapVersail;Austropop;Notes;SarrazSynth;NoComment;Homme;Autre;>54;Non;PasStat
PopRock;80s;RollingSt;Metallica;US;JayZ;JoeySt;Oreilles;Stromae;MJackson;Dylan;Maneskin;DaftPunk;ChantAmphi;Psychobilly;Joie;BillyVoix;Bouzin;Femme;Autre;45-54;Oui;HaHa
