Dpt;Règlements_compte;Homicides_vol;Homicides_autres;Tentatives_homicides_vol;Tentatives_homicides_autres;Coups_et_blessures_mort;Autres_coups_et_blessures;Prises_d_otages_vols;Prises_d_otages_autre;Sequestrations;Menaces_chantages_extorsion_fonds;Menaces_ou_chantages_autre;Atteintes_dignité;Violations_domicile;Vols_MA_EF;Vols_MA_etrp;Vols_MA_trsp_fonds;Vols_MA_particuliers_domicile;Autres_vols_MA;Vols_AB_financier_entrp_industriels;Vols_AB_particuliers_domicile;Autres_vols_AB;Vols_violents_SA_financiers_commerciaux_industriels;Vols_violents_SA_contre_des_particuliers_dom;Vols_violents_SA_femmes_VP;Vols_violents_SA_autres;Cambriolages_habitations_principales;Cambriolages_résidences_secondaires;Camb_locaux_industriels_commerciaux_financiers;Cambriolages_autres;Vols_entrée_rusée_tous_lieux;Vols_tire;Vols_étalage;Vols_de_véhicules_de_transport_avec_frêt;Vols_autos;Vols_2_roues_motorisés;Vols_roulotte;Vols_accessoires_véhicules_immat;Vols_chantier;Vols_exploit_agri;Autres_vols_simples;Autres_vols_simples_particuliers_locaux_privés;Autres_vols_simples_particuliers_publics;Recels;Proxénétisme;Viols_majeur_e_s;Viols_mineur_e_s;Harcèlements_agressions_sexuels_majeur_e_s;Harcèlements_agressions_sexuelles_mineur_e_s;Atteintes_sexuelles;Homicides_sur_moins_15;Violences__mauvais_traitements_et_abandons_d_enfants_;Délits_garde_mineurs;Non_versement_de_pension_alimentaire;Trafic_sans_usage_stup;Usage_revente_stup;Usage_stup;Autres_infractions_stup;infraction_règlementation_alcool_tabac;Fraudes_alimentaires_infractions_hygiène;Autres_délits_santé_publique_réglementation_prof_médi;Incendies_volontaires_public;Incendies_volontaires_privés;Attentats_à_l_explosif_publics;Attentats_à_l_explosif_privés;Autres_dégradations_publics;Autres_destructions_privés;Destructions_véhicules_privés;Infractions__conditions_entrée_séjour_étrangers;Aide_entrée_circulation_séjour_étrangers;Autres_infractions_étrangers;Outrages__autorité;Violences_autorité;armes_prohibées;Atteintes_aux_intérêts_fondamentaux_de_la_Nation;Délits_courses__jeux;Délits_interdiction_séjour__paraître;délits_envers_animaux;Atteintes_environnement;Chasse_pêche;Faux_doc_identité;Faux_documents_circulation_véhicules;faux_docs_administratifs;Faux_en_écriture_publique_et_authentique;Autres_faux_écriture;Fausse_monnaie;Contrefaçons_fraudes_industr_commerc;Contrefaçons_littéraires_artistique;chèques_volés;cartes_crédit;Escroqueries_abus_confiance;Infractions_chèques;Travail_clandestin;Emploi_d_étranger_sans_titre_travail;Marchandage;Banqueroutes__abus_de_biens_sociaux_et_autres_délits_de_société;Prix_illicittes__publicité_fausse_infractions_concurrence;Achats_ventes_sans_factures;Infractions_exercice_profession_règlementée;Infractions_droit_urbanisme_construction;Fraudes_fiscales;Autres_délits_éco_financiers;Autres_délits
79;0;0;0;0;1;0;223;0;0;3;10;100;40;15;0;1;0;0;2;0;0;2;0;3;16;38;328;11;38;91;12;35;159;0;107;115;357;123;8;0;76;386;432;15;0;11;16;9;31;20;0;62;19;8;7;26;164;2;1;0;0;8;28;1;0;31;119;84;1;0;0;25;61;43;0;0;0;7;0;1;3;0;5;0;7;3;4;0;67;67;275;1;1;0;0;0;0;0;0;0;0;11;132
8;0;0;0;0;0;1;479;0;0;4;16;242;89;24;0;1;0;1;0;1;0;1;1;7;38;59;208;11;45;158;19;210;164;0;101;47;266;59;8;1;98;284;297;46;1;11;5;16;25;29;0;80;30;5;2;24;402;0;2;0;0;18;110;0;0;62;226;184;3;4;2;64;75;101;1;0;1;4;0;0;3;2;3;2;4;3;0;0;56;45;270;1;4;0;0;0;0;0;2;0;0;3;118
80;0;1;7;0;7;0;1231;0;0;22;57;569;213;52;0;1;0;1;2;2;6;17;5;8;124;189;685;31;250;399;57;390;288;0;408;216;866;340;49;2;252;855;1216;202;0;46;51;61;83;68;0;237;133;20;40;60;1073;6;1;0;0;164;275;0;1;113;341;178;22;6;10;129;149;160;1;0;3;12;3;0;17;11;14;2;23;14;9;0;760;248;773;2;16;2;0;7;1;0;5;10;2;9;631
81;0;0;2;0;2;0;412;0;0;13;21;222;81;14;0;4;0;0;3;1;1;6;4;6;47;70;913;28;117;166;51;122;163;0;163;99;820;174;22;1;120;355;671;68;0;22;21;18;31;30;0;92;36;16;3;43;201;0;1;0;0;67;102;1;1;134;318;209;3;2;5;72;83;41;0;0;0;6;2;0;2;3;3;1;4;6;2;0;87;118;435;26;6;0;0;6;2;0;1;4;0;0;176
82;0;0;2;0;4;2;326;0;0;4;10;174;48;16;0;2;0;3;1;1;1;6;1;2;33;40;454;29;125;41;12;164;123;0;114;56;470;116;18;6;109;319;415;36;0;17;8;15;17;14;0;74;55;11;3;26;168;0;0;0;0;1;47;0;2;31;195;188;0;0;1;53;52;41;1;0;0;6;2;0;3;0;5;0;8;11;1;0;203;82;331;10;1;0;0;2;0;0;0;5;0;5;160
83;3;0;12;1;32;0;2744;0;0;43;96;1169;388;180;0;12;0;9;15;3;8;37;7;18;350;499;2750;263;377;984;52;1259;517;2;691;938;2096;709;74;5;413;1936;3905;223;2;66;46;85;120;100;0;473;200;146;172;376;3386;8;43;1;1;41;274;0;1;191;884;774;23;23;40;377;406;609;5;1;7;31;5;0;40;26;35;4;95;54;27;12;476;563;2492;57;120;67;0;13;7;1;8;128;7;39;1071
84;4;0;3;0;9;1;1060;1;0;24;50;558;213;83;0;6;0;2;3;4;4;18;7;13;133;157;1138;55;136;324;34;497;261;0;496;148;916;300;57;17;285;1046;1176;128;2;37;24;33;46;71;0;136;94;71;68;230;912;2;2;0;0;25;199;0;1;115;501;472;49;69;18;145;175;182;3;0;1;18;5;0;30;5;17;5;35;10;20;0;173;254;979;7;79;63;1;5;0;0;5;38;3;14;529
85;0;0;0;0;4;0;485;0;0;10;16;212;71;15;0;0;0;0;1;1;1;3;1;5;31;39;315;25;64;107;21;59;162;0;101;112;444;170;5;4;106;364;600;47;1;11;8;22;25;25;0;75;27;11;2;46;295;2;0;0;0;5;41;0;0;74;293;166;0;1;0;49;57;45;0;0;1;5;3;0;1;3;5;0;10;1;2;0;105;95;323;3;1;0;0;1;0;0;0;4;0;0;201
86;0;0;1;0;18;0;688;0;0;13;35;318;143;37;0;2;0;1;2;0;3;14;2;7;91;85;452;22;169;121;31;344;334;0;95;121;519;316;32;1;241;588;905;93;1;29;36;39;40;50;0;142;51;9;36;153;672;2;1;1;1;31;99;0;0;384;460;524;2;2;7;116;107;152;1;0;0;6;2;0;11;14;14;1;22;6;4;0;98;186;858;6;17;1;0;4;3;0;3;5;0;14;375
87;0;0;0;0;2;1;556;0;0;9;28;199;132;30;0;3;0;2;0;0;2;10;1;3;41;48;723;47;221;193;23;294;287;0;154;161;732;242;31;0;261;295;1022;89;3;24;25;40;41;37;0;113;63;29;42;103;380;4;1;0;1;21;96;0;0;128;153;131;0;51;12;63;69;113;0;0;4;4;2;0;66;8;13;4;25;7;4;0;158;196;681;0;28;11;0;7;0;0;1;0;1;6;310
